feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,id,label
0,0.142857143,0,0,0,0,0,12,0,0,3.285714286,0,0,8.142857143,0,0,1.285714286,0,0,15.28571429,0,0,20,0,0,33.42422825,0,50,49.20634921,51.66988618,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,0,2,0,0,23,0,0,34.5,0,0,53.24691237,0,50,46.875,56.52173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,36,50,42.13043478,18,96,49.61682243,,,0,0.545224299,,,4.896391304,3.819757009,,,4.086956522,4.728971963,,,30.92753623,43.18224299,,,0,0,,,50.70716554,54.87892497,25,125,121,113,98,0.233333333,0.066666667,,,1,0,0,0,1,0,0,0,,,,,,,,,0,0
0,0,0,0.153846154,0,0,2.153846154,3.538461538,1.230769231,6.076923077,2,0.153846154,4.076923077,2.307692308,0.692307692,0.076923077,0,0,8.230769231,5.538461538,1.384615385,7.769230769,4.076923077,0.884615385,12.58160276,9.025398967,1.918773181,44.61538462,62.8022887,48.52054852,0,0,0,0.166666667,0,0,1.166666667,1.5,1,2.5,0,0,1.333333333,0.666666667,0.666666667,0,0,0,3.666666667,1.5,1,3.75,1.666666667,0.75,6.758188781,3.172230806,1.212477928,46.66666667,56.86431624,46.75925926,0,0,0,0.5,0,0,0,4.5,2.5,6.5,0,0,2,2,2,0,0,0,6.5,4.5,2.5,3.25,5,2.25,8.391560475,9.516692417,2.844334175,64.09090909,37.72504092,44.28104575,0,0,0,1,0,0,0,0,0,13,0,0,4,0,0,0,0,0,13,0,0,6.5,0,0,16.78312095,0,0,47.05882353,30.76923077,43.75,13,72,75,73.53846154,48,94,69.88888889,36,94,69.97297297,32,94,60.21319797,0,0,0,0,1.131923077,1.763,1.850513514,2.130609137,3.153846154,2.962962963,3.108108108,2.817258883,85,85,85,85,1,0.666666667,0.513513514,0.456852792,89.37551034,85.29057097,87.94839931,77.29656284,20,100,96,88,73,0.433333333,0.4,0.285714286,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.07
0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,0,0,13.05469085,50,49.20634921,49.09090909,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,0,0,13.05469085,50,46.875,47.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,14,18,16,14,18,16,,,0,0,,,13.2085,13.2085,,,11,11,,,85,85,,,1,1,,,16.08617181,16.08617181,26,243,239,231,216,0.033333333,0.066666667,,,1,0,0,0,1,0,0,0,,,,,,,,,2,8.92
0,0,0.058823529,0.058823529,0.058823529,0,9.529411765,5.235294118,19.52941176,9.235294118,1.411764706,2.529411765,7.941176471,3.117647059,9.235294118,1,0.352941176,0.470588235,18.76470588,6.647058824,22.05882353,13.73529412,5.676470588,17.26470588,25.14721314,9.698344903,30.71080579,44.92413371,48.68942319,46.63814127,0,0,0,0,0,0,11.6,5.9,21.9,5.2,0.8,4.3,6.4,2.7,11.2,0.9,0.3,0.4,16.8,6.7,26.2,10.6,5.4,21.4,21.38884082,9.330161162,37.18888669,45.65751968,47.06245855,43.08913309,0,0,0,0,0,0,10.8,6.6,23.4,8.6,1.6,0,6.6,3.2,10.8,1.4,0.6,0.2,19.4,8.2,23.4,11.9,6.8,21.6,24.16612594,11.73737402,35.5250099,48.76503497,42.30363007,39.68002586,0,0,0,0,0,0,0,0,26,21.5,4,0,7.5,1,10,2,0,0,21.5,4,26,14.75,1.5,17.25,29.06879596,4.028872833,34.36953197,42.760181,39.57886281,34.375,17,35,76,54.66990291,17,100,55.06666667,17,100,61.47887324,14,100,61.57001239,0,0,0.036965795,0.167945477,1.885194175,1.945258824,2.140342052,2.477982652,2.436893204,2.556862745,2.645875252,2.65551425,85,85,85,85,1,1,1,1,58.69518752,63.25205453,64.80837626,71.25435576,24,118,114,106,91,0.566666667,0.666666667,0.714285714,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,5.15
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06079245,0,49.20634921,49.09090909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06079245,0,46.875,47.22222222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06079245,0,44.68085106,44.11764706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06079245,0,44.27400468,43.75,1,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,5,5,5,5,85,85,85,85,1,1,1,1,14.55750675,14.55750675,14.55750675,14.55750675,21,48,44,36,21,0.033333333,0.066666667,0.142857143,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,4.48
0,0,0,0.333333333,0.733333333,0.266666667,2.4,4.2,1.666666667,1.466666667,0.733333333,0.066666667,2.666666667,3.133333333,0.8,0.533333333,0.333333333,0.2,3.866666667,4.933333333,1.733333333,7.566666667,9.266666667,3.4,9.889295354,12.68963824,4.86779018,53.66666667,59.74314574,54.54040404,0,0,0,0.25,0.75,0.25,0.5,2.75,0.25,0,0,0,0.25,1.75,0.25,0,0,0,0.5,2.75,0.25,2.375,4.375,1.875,2.769678792,6.280736033,1.918279404,62.5,48.4375,55.90277778,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,4.5,0,0,7.032230067,0,48.18181818,44.68085106,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,47,52,49.66666667,47,90,72.14285714,47,100,80.60759494,,0,0,0.015677215,,4.705,2.661142857,3.553392405,,4,4.5,4.620253165,,85,85,85,,1,1,1,,72.52322452,68.03453396,68.96998036,21,48,44,36,21,0.5,0.266666667,0.142857143,,1,0,0,0,1,0,0,0,1,0,0,0,,,,,5,1.54
0,0,0,5.5,5.333333333,0,1.5,7.333333333,0,12.5,10.33333333,0.333333333,8.333333333,8.666666667,0,0.666666667,0.5,0,14,17.66666667,0.333333333,11.16666667,12.41666667,0,17.64843111,23.57467599,0.374937683,41.66666667,55.53257004,44.12393162,0,0,0,5.5,5.333333333,0,1.5,7.333333333,0,12.5,10.33333333,0.333333333,8.333333333,8.666666667,0,0.666666667,0.5,0,14,17.66666667,0.333333333,11.16666667,12.41666667,0,17.64843111,23.57467599,0.374937683,41.66666667,55.14401184,43.501036,0,0,0,0,4,0,1,0,0,1.333333333,16.33333333,0.666666667,1,7.333333333,0,0.666666667,0.666666667,0,2.333333333,16.33333333,0.666666667,1.333333333,11,0,2.881591772,21.51485603,0.749875367,32.12121212,42.6713948,38.46656611,0,0,0,0,11,0,0,0,0,0,39,0,0,20,0,0,2,0,0,39,0,0,31,0,0,54.42148202,0,47.05882353,44.27400468,51.28205128,6,44,69,55.92307692,41,78,56.29310345,41,87,65.19270833,41,87,65.19270833,0,0,0,0,2.990128205,2.359155172,4.20234375,4.20234375,6.641025641,6.396551724,6.088541667,6.088541667,85,85,82.42708333,82.42708333,1,1,1,1,61.18907234,58.06017802,71.75818035,71.75818035,37,60,56,48,33,0.2,0.4,0.428571429,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0
0,0,0,0.086956522,0.782608696,1.347826087,0.130434783,19.56521739,13.73913043,0.47826087,7.347826087,6.52173913,0.391304348,14.65217391,11.2173913,0,0.304347826,0.347826087,0.608695652,26.91304348,20.26086957,2.02173913,41.67391304,39.91304348,2.435671876,63.94800653,58.85522444,57.72284607,52.07666729,55.26981031,0,0,0,0.2,1.4,1.5,0.3,22.2,10,1.1,7.9,6.7,0.9,16.6,8.4,0,0.3,0.1,1.4,30.1,16.7,4.65,51.15,34.75,5.602045315,75.87454268,50.21431684,49.92481304,54.17613636,53.49385763,0,0,0,0,1,1,0.5,30,12.83333333,0,2.166666667,4.666666667,0.333333333,16.66666667,7.833333333,0,0.333333333,0.166666667,0.5,32.16666667,17.5,0.583333333,44.91666667,24.91666667,0.892473211,71.50990776,42.59523213,46.56162465,54.78723404,46.84043893,0,0,0,0,2,0,0,29.5,0,0,0,8.5,0,17.5,4.5,0,0.5,0,0,29.5,8.5,0,45,18.5,0,65.20103542,28.66114757,50,44.27400468,51.53601695,23,17,71,47.90789474,17,93,58.70431894,17,96,62.33609959,17,96,63.45859873,4.006302632,1.726033223,2.835344398,2.211411283,13.88981579,11.92767442,15.26716183,14.48398453,7.065789474,7.348837209,7.7406639,7.734303913,85,85,82.94536653,83.96251137,1,1,1,0.992993631,83.89960418,76.95811906,80.18777009,77.59083706,37,60,56,48,33,0.766666667,0.666666667,0.857142857,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,4.67
0.136363636,0,0,3.909090909,1.5,0.363636364,31.86363636,10.54545455,2.772727273,9.045454545,3.863636364,1.454545455,16.18181818,4.545454545,1.772727273,0,0,0,40.90909091,14.40909091,4.227272727,41.14318182,12.23863636,4.565151515,68.00247324,23.19562131,7.333759396,47.14958022,40.88157823,37.11258752,0.222222222,0,0,3.555555556,1.777777778,0.444444444,24.77777778,13.22222222,5.222222222,4.444444444,3.444444444,0.666666667,12.44444444,5,2.666666667,0,0,0,29.22222222,16.66666667,5.888888889,32.27777778,14.04444444,6.872222222,53.23006654,25.50739449,10.99359529,52.04906205,44.50916478,26.78365193,0,0,0,2.6,1.2,0,7.2,4,1.6,8,6.2,1.2,8.4,3.2,1.2,0,0,0,15.2,10.2,2.8,18.76,7.57,2.28,28.42090633,12.54192468,4.269867273,41.27272727,50.57902736,25.08333333,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,15,0,0,8.133333333,0,0,16.82556897,0,47.05882353,44.27400468,6.666666667,22,43,68,56.6,29,83,54.92907801,15,89,51.2639485,15,95,54.07480916,0,0.035446809,0.413459227,0.44279771,0.366666667,10.07886525,7.324070815,7.540261069,6.733333333,6.517730496,7.334763948,7.173282443,85,85,83.7972103,84.5721374,1,1,1,0.967938931,33.87701189,42.38084556,40.02701867,40.78514919,37,60,56,48,33,0.733333333,0.6,0.714285714,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,9.25
0,0.0625,0.25,1.1875,0.25,0.875,9,4.875,8.8125,7,0.375,0,4.5625,1.1875,3.0625,0,0,0,16,5.25,8.8125,11.29270833,3.314583333,7.235416667,13.56698646,4.100885154,8.753448372,42.55249448,39.17884348,31.17588933,0,0.142857143,0.428571429,1,0.428571429,1.857142857,8.428571429,3.428571429,15.14285714,11.57142857,0.857142857,0,6,1.142857143,5.285714286,0,0,0,20,4.285714286,15.14285714,14.02857143,2.807142857,12.4952381,17.13038225,3.440445652,15.08576329,39.55309396,38.63457093,32.6984127,0,0,0.75,1.25,0,2.5,12.5,1,16.75,20.25,1.5,0,9.5,0,7,0,0,0,32.75,2.5,16.75,22.175,1.25,15.31666667,27.16982582,1.538769079,18.60274022,45.01336898,32.51335078,22.05882353,0,0,0,1,0,3,37,0,34,0,0,0,13,0,13,0,0,0,37,0,34,23.95,0,25.96666667,30.39282097,0,30.51500628,38.23529412,35.13513514,43.75,16,50,75,63.14084507,35,96,61.20673077,34,96,62.30797101,23,97,67.75675676,0,0,0,0,1.835450704,1.9245625,1.875811594,1.667305613,2.408450704,2.509615385,2.463768116,2.484407484,85,85,85,85,1,0.992788462,0.994565217,0.994802495,98.0169589,89.40774953,93.39086797,91.40345755,25,108,104,96,81,0.533333333,0.466666667,0.571428571,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,9,3.1
